"Id","Position","First Name","Nickname","Last Name","FPPG","Played","Salary","Game","Team","Opponent","Injury Indicator","Injury Details","Tier","",""
"28509-42104","RB","Alvin","Alvin Kamara","Kamara","26.666666666666668","3","9100","NO@NYG","NO","NYG","","","","",""
"28509-28573","WR","Michael","Michael Thomas","Thomas","24.26666768391927","3","9000","NO@NYG","NO","NYG","","","","",""
"28509-28900","RB","Melvin","Melvin Gordon III","Gordon III","22.03333282470703","3","8700","SF@LAC","LAC","SF","","","","",""
"28509-6504","QB","Drew","Drew Brees","Brees","29.906667073567707","3","8700","NO@NYG","NO","NYG","","","","",""
"28509-16606","WR","DeAndre","DeAndre Hopkins","Hopkins","14.233333587646484","3","8600","HOU@IND","HOU","IND","","","","",""
"28509-6498","QB","Tom","Tom Brady","Brady","15.71999994913737","3","8600","MIA@NE","NE","MIA","","","","",""
"28509-31360","WR","Odell","Odell Beckham Jr.","Beckham Jr.","13","3","8600","NO@NYG","NYG","NO","","","","",""
"28509-14190","WR","Julio","Julio Jones","Jones","14.666666666666666","3","8600","CIN@ATL","ATL","CIN","","","","",""
"28509-6894","QB","Aaron","Aaron Rodgers","Rodgers","20.293333689371746","3","8500","BUF@GB","GB","BUF","","","","",""
"28509-14187","WR","A.J.","A.J. Green","Green","17.3000005086263","3","8500","CIN@ATL","CIN","ATL","Q","Groin","","",""
"28509-38791","RB","Ezekiel","Ezekiel Elliott","Elliott","15.533332824707031","3","8200","DET@DAL","DAL","DET","","","","",""
"28509-11460","TE","Rob","Rob Gronkowski","Gronkowski","9.799999872843424","3","8100","MIA@NE","NE","MIA","","","","",""
"28509-6616","QB","Matt","Matt Ryan","Ryan","27.226666768391926","3","8100","CIN@ATL","ATL","CIN","","","","",""
"28509-29253","WR","Keenan","Keenan Allen","Allen","11.466667175292969","3","8100","SF@LAC","LAC","SF","","","","",""
"28509-45889","WR","Davante","Davante Adams","Adams","16.133333841959637","3","8000","BUF@GB","GB","BUF","","","","",""
"28509-64401","RB","Saquon","Saquon Barkley","Barkley","19.266666412353516","3","8000","NO@NYG","NYG","NO","","","","",""
"28509-32384","WR","Mike","Mike Evans","Evans","21.399998982747395","3","7900","TB@CHI","TB","CHI","","","","",""
"28509-7968","QB","Philip","Philip Rivers","Rivers","23.246665954589844","3","7800","SF@LAC","LAC","SF","","","","",""
"28509-52922","RB","Leonard","Leonard Fournette","Fournette","7","1","7700","NYJ@JAC","JAC","NYJ","Q","Hamstring","","",""
"28509-62497","RB","David","David Johnson","Johnson","11.633333841959635","3","7600","SEA@ARI","ARI","SEA","","","","",""
"28509-42028","WR","Will","Will Fuller V","Fuller V","19.950000762939453","2","7600","HOU@IND","HOU","IND","","","","",""
"28509-54879","QB","Deshaun","Deshaun Watson","Watson","20.613333384195965","3","7600","HOU@IND","HOU","IND","","","","",""
"28509-22015","QB","Russell","Russell Wilson","Wilson","17.913333892822266","3","7500","SEA@ARI","SEA","ARI","","","","",""
"28509-7659","QB","Ryan","Ryan Fitzpatrick","Fitzpatrick","33.800000508626304","3","7400","TB@CHI","TB","CHI","","","","",""
"28509-14225","QB","Andy","Andy Dalton","Dalton","20.733333587646484","3","7400","CIN@ATL","CIN","ATL","","","","",""
"28509-54604","QB","Jimmy","Jimmy Garoppolo","Garoppolo","17.00666681925456","3","7300","SF@LAC","SF","LAC","O","Knee - acl","","",""
"28509-21939","QB","Andrew","Andrew Luck","Luck","15.893333435058594","3","7300","HOU@IND","IND","HOU","","","","",""
"28509-6654","QB","Matthew","Matthew Stafford","Stafford","18.400000254313152","3","7300","DET@DAL","DET","DAL","","","","",""
"28509-22031","WR","T.Y.","T.Y. Hilton","Hilton","12.800000508626303","3","7300","HOU@IND","IND","HOU","","","","",""
"28509-70324","QB","Carson","Carson Wentz","Wentz","12.199999809265137","1","7300","PHI@TEN","PHI","TEN","","","","",""
"28509-27776","RB","Tevin","Tevin Coleman","Coleman","12.40000025431315","3","7200","CIN@ATL","ATL","CIN","","","","",""
"28509-42142","RB","Jordan","Jordan Howard","Howard","12.199999491373697","3","7200","TB@CHI","CHI","TB","","","","",""
"28509-14626","WR","Doug","Doug Baldwin","Baldwin","0","1","7200","SEA@ARI","SEA","ARI","O","Knee - mcl","","",""
"28509-52442","RB","Joe","Joe Mixon","Mixon","16.299999237060547","2","7100","CIN@ATL","CIN","ATL","O","Knee - meniscus","","",""
"28509-6826","QB","Eli","Eli Manning","Manning","13.833333333333334","3","7100","NO@NYG","NYG","NO","","","","",""
"28509-29780","TE","Zach","Zach Ertz","Ertz","10.666666666666666","3","7000","PHI@TEN","PHI","TEN","","","","",""
"28509-22027","QB","Nick","Nick Foles","Foles","10.619999885559082","2","7000","PHI@TEN","PHI","TEN","","","","",""
"28509-31394","WR","Jarvis","Jarvis Landry","Landry","13.266666412353516","3","7000","CLE@OAK","CLE","OAK","","","","",""
"28509-45859","QB","Derek","Derek Carr","Carr","13.446666717529297","3","7000","CLE@OAK","OAK","CLE","","","","",""
"28509-41535","QB","Baker","Baker Mayfield","Mayfield","9.84000015258789","1","6900","CLE@OAK","CLE","OAK","","","","",""
"28509-11485","WR","Golden","Golden Tate","Tate","14.199999491373697","3","6800","DET@DAL","DET","DAL","","","","",""
"28509-24920","RB","Devonta","Devonta Freeman","Freeman","6.5","1","6800","CIN@ATL","ATL","CIN","Q","Knee","","",""
"28509-27050","WR","Tyler","Tyler Lockett","Lockett","14.699999491373697","3","6800","SEA@ARI","SEA","ARI","","","","",""
"28509-21948","QB","Ryan","Ryan Tannehill","Tannehill","19.626667022705078","3","6800","MIA@NE","MIA","NE","","","","",""
"28509-38628","QB","Mitchell","Mitchell Trubisky","Trubisky","12.346666971842447","3","6800","TB@CHI","CHI","TB","","","","",""
"28509-28473","RB","Carlos","Carlos Hyde","Hyde","15.933333079020182","3","6800","CLE@OAK","CLE","OAK","","","","",""
"28509-31716","QB","Dak","Dak Prescott","Prescott","11.473332722981771","3","6800","DET@DAL","DAL","DET","","","","",""
"28509-14704","WR","Chris","Chris Hogan","Hogan","7.966666539510091","3","6700","MIA@NE","NE","MIA","","","","",""
"28509-34308","QB","Blake","Blake Bortles","Bortles","18.893333435058594","3","6700","NYJ@JAC","JAC","NYJ","","","","",""
"28509-31001","WR","Amari","Amari Cooper","Cooper","7.200000127156575","3","6600","CLE@OAK","OAK","CLE","","","","",""
"28509-46882","RB","Jay","Jay Ajayi","Ajayi","14.699999809265137","2","6600","PHI@TEN","PHI","TEN","Q","Back","","",""
"28509-21980","WR","Alshon","Alshon Jeffery","Jeffery","10.462499618530273","16","6500","PHI@TEN","PHI","TEN","Q","Shoulder","","",""
"28509-22037","RB","Lamar","Lamar Miller","Miller","10.333333333333334","3","6500","HOU@IND","HOU","IND","","","","",""
"28509-6739","WR","DeSean","DeSean Jackson","Jackson","18.400000254313152","3","6500","TB@CHI","TB","CHI","","","","",""
"28509-22103","WR","Marvin","Marvin Jones Jr.","Jones Jr.","11.90000025431315","3","6500","DET@DAL","DET","DAL","","","","",""
"28509-6779","RB","LeSean","LeSean McCoy","McCoy","5.699999809265137","2","6500","BUF@GB","BUF","GB","Q","Ribs","","",""
"28509-23194","WR","Josh","Josh Gordon","Gordon","8.199999809265137","1","6500","MIA@NE","NE","MIA","Q","Hamstring","","",""
"28509-7859","WR","Julian","Julian Edelman","Edelman","0","0","6500","MIA@NE","NE","MIA","O","Suspension","","",""
"28509-62364","QB","Josh","Josh Rosen","Rosen","1.6399999856948853","1","6500","SEA@ARI","ARI","SEA","","","","",""
"28509-28643","WR","Allen","Allen Robinson II","Robinson II","9.299999872843424","3","6500","TB@CHI","CHI","TB","","","","",""
"28509-53303","RB","Matt","Matt Breida","Breida","14.066666920979818","3","6400","SF@LAC","SF","LAC","Q","Knee","","",""
"28509-9371","RB","Marshawn","Marshawn Lynch","Lynch","13.933333079020182","3","6400","CLE@OAK","OAK","CLE","","","","",""
"28509-54684","RB","Isaiah","Isaiah Crowell","Crowell","15.066666920979818","3","6400","NYJ@JAC","NYJ","JAC","","","","",""
"28509-6627","WR","Ted","Ted Ginn Jr.","Ginn Jr.","11.333333333333334","3","6400","NO@NYG","NO","NYG","","","","",""
"28509-64119","RB","Chris","Chris Carson","Carson","9.733333587646484","3","6400","SEA@ARI","SEA","ARI","","","","",""
"28509-25290","RB","Giovani","Giovani Bernard","Bernard","8.233333587646484","3","6400","CIN@ATL","CIN","ATL","","","","",""
"28509-6883","WR","Larry","Larry Fitzgerald","Fitzgerald","5.766666412353516","3","6400","SEA@ARI","ARI","SEA","","","","",""
"28509-62239","QB","Josh","Josh Allen","Allen","16.099999745686848","3","6400","BUF@GB","BUF","GB","","","","",""
"28509-27457","WR","Kenny","Kenny Stills","Stills","13.633333841959635","3","6400","MIA@NE","MIA","NE","","","","",""
"28509-64555","WR","Calvin","Calvin Ridley","Ridley","17.233333587646484","3","6300","CIN@ATL","ATL","CIN","","","","",""
"28509-11414","QB","Sam","Sam Bradford","Bradford","5.566666920979817","3","6300","SEA@ARI","ARI","SEA","","","","",""
"28509-30989","RB","Kenyan","Kenyan Drake","Drake","8.366666793823242","3","6300","MIA@NE","MIA","NE","","","","",""
"28509-29358","QB","Marcus","Marcus Mariota","Mariota","6.360000133514404","2","6300","PHI@TEN","TEN","PHI","Q","Elbow","","",""
"28509-39829","WR","Mike","Mike Williams","Williams","14.133333841959635","3","6300","SF@LAC","LAC","SF","","","","",""
"28509-29683","WR","Nelson","Nelson Agholor","Agholor","10.966667175292969","3","6300","PHI@TEN","PHI","TEN","","","","",""
"28509-63589","QB","Sam","Sam Darnold","Darnold","11.680000305175781","3","6200","NYJ@JAC","NYJ","JAC","","","","",""
"28509-79998","WR","Keelan","Keelan Cole","Cole","11.5","3","6200","NYJ@JAC","JAC","NYJ","","","","",""
"28509-80001","RB","Austin","Austin Ekeler","Ekeler","13","3","6200","SF@LAC","LAC","SF","","","","",""
"28509-24849","QB","Jameis","Jameis Winston","Winston","16.35846182016226","13","6200","TB@CHI","TB","CHI","O","Suspension","","",""
"28509-27986","QB","C.J.","C.J. Beathard","Beathard","15.800000508626303","6","6200","SF@LAC","SF","LAC","","","","",""
"28509-55635","WR","Chris","Chris Godwin","Godwin","13.199999491373697","3","6200","TB@CHI","TB","CHI","","","","",""
"28509-27477","WR","Sterling","Sterling Shepard","Shepard","9.40000025431315","3","6200","NO@NYG","NYG","NO","","","","",""
"28509-28930","RB","James","James White","White","12.699999491373697","3","6100","MIA@NE","NE","MIA","","","","",""
"28509-27266","WR","Quincy","Quincy Enunwa","Enunwa","11.90000025431315","3","6100","NYJ@JAC","NYJ","JAC","","","","",""
"28509-14194","QB","Blaine","Blaine Gabbert","Gabbert","4.293333371480306","3","6100","PHI@TEN","TEN","PHI","Q","Concussion","","",""
"28509-14257","WR","Randall","Randall Cobb","Cobb","10.666666666666666","3","6100","BUF@GB","GB","BUF","","","","",""
"28509-14377","QB","Tyrod","Tyrod Taylor","Taylor","14.326666514078775","3","6000","CLE@OAK","CLE","OAK","Q","Concussion","","",""
"28509-30761","QB","Nathan","Nathan Peterman","Peterman","-0.9399999976158142","1","6000","BUF@GB","BUF","GB","","","","",""
"28509-30788","QB","Tyler","Tyler Bray","Bray","-2","1","6000","TB@CHI","CHI","TB","","","","",""
"28509-39034","QB","Kurt","Kurt Benkert","Benkert","0","0","6000","CIN@ATL","ATL","CIN","","","","",""
"28509-83079","QB","Kyle","Kyle Lauletta","Lauletta","0","0","6000","NO@NYG","NYG","NO","","","","",""
"28509-27801","QB","Nate","Nate Sudfeld","Sudfeld","7.559999942779541","1","6000","PHI@TEN","PHI","TEN","","","","",""
"28509-83130","QB","Chad","Chad Kanoff","Kanoff","0","0","6000","SEA@ARI","ARI","SEA","","","","",""
"28509-57537","QB","DeShone","DeShone Kizer","Kizer","-0.800000011920929","1","6000","BUF@GB","GB","BUF","","","","",""
"28509-45259","QB","Logan","Logan Woodside","Woodside","0","0","6000","PHI@TEN","TEN","PHI","","","","",""
"28509-29915","QB","Brett","Brett Hundley","Hundley","12.358182040127842","11","6000","SEA@ARI","SEA","ARI","","","","",""
"28509-54507","QB","Alex","Alex McGough","McGough","0","0","6000","SEA@ARI","SEA","ARI","","","","",""
"28509-11512","TE","Jimmy","Jimmy Graham","Graham","7.099999745686849","3","6000","BUF@GB","GB","BUF","","","","",""
"28509-39179","QB","Tanner","Tanner Lee","Lee","0","0","6000","NYJ@JAC","JAC","NYJ","","","","",""
"28509-31047","QB","AJ","AJ McCarron","McCarron","1.3200000524520874","2","6000","CLE@OAK","OAK","CLE","","","","",""
"28509-27982","QB","Jake","Jake Rudock","Rudock","-0.03999999910593033","1","6000","DET@DAL","DET","DAL","","","","",""
"28509-31061","RB","T.J.","T.J. Yeldon","Yeldon","11.5","3","6000","NYJ@JAC","JAC","NYJ","Q","Ankle","","",""
"28509-11615","QB","Joe","Joe Webb III","Webb III","2.9000000953674316","2","6000","HOU@IND","HOU","IND","","","","",""
"28509-39280","RB","Derrick","Derrick Henry","Henry","5.0733334223429365","3","6000","PHI@TEN","TEN","PHI","","","","",""
"28509-21959","QB","Brandon","Brandon Weeden","Weeden","0","0","6000","HOU@IND","HOU","IND","","","","",""
"28509-21994","QB","Brock","Brock Osweiler","Osweiler","12.153333028157553","6","6000","MIA@NE","MIA","NE","","","","",""
"28509-33259","QB","Teddy","Teddy Bridgewater","Bridgewater","-1.2999999523162842","1","6000","NO@NYG","NO","NYG","","","","",""
"28509-45565","QB","Taysom","Taysom Hill","Hill","1.9500000476837158","2","6000","NO@NYG","NO","NYG","","","","",""
"28509-6679","QB","Matt","Matt Schaub","Schaub","0","1","6000","CIN@ATL","ATL","CIN","","","","",""
"28509-30231","QB","Jacoby","Jacoby Brissett","Brissett","0","1","6000","HOU@IND","IND","HOU","","","","",""
"28509-40482","QB","Tim","Tim Boyle","Boyle","0","0","6000","BUF@GB","GB","BUF","","","","",""
"28509-23075","QB","Alex","Alex Tanney","Tanney","0","0","6000","NO@NYG","NYG","NO","","","","",""
"28509-30253","QB","Jeff","Jeff Driskel","Driskel","0","0","6000","CIN@ATL","CIN","ATL","","","","",""
"28509-40534","QB","Mike","Mike White","White","0","0","6000","DET@DAL","DAL","DET","","","","",""
"28509-41562","QB","Nick","Nick Mullens","Mullens","0","0","6000","SF@LAC","SF","LAC","","","","",""
"28509-7778","QB","Matt","Matt Cassel","Cassel","-0.5400000214576721","1","6000","DET@DAL","DET","DAL","","","","",""
"28509-8803","QB","Chase","Chase Daniel","Daniel","-0.20000000298023224","1","6000","TB@CHI","CHI","TB","","","","",""
"28509-6803","QB","Josh","Josh McCown","McCown","16.495384803185097","13","6000","NYJ@JAC","NYJ","JAC","","","","",""
"28509-44715","QB","Cooper","Cooper Rush","Rush","0.6899999976158142","2","6000","DET@DAL","DAL","DET","","","","",""
"28509-7872","QB","Brian","Brian Hoyer","Hoyer","6.7879997253417965","10","6000","MIA@NE","NE","MIA","","","","",""
"28509-41732","QB","Christian","Christian Hackenberg","Hackenberg","0","0","6000","CIN@ATL","CIN","ATL","","","","",""
"28509-25410","QB","Mike","Mike Glennon","Glennon","9.680000305175781","4","6000","SEA@ARI","ARI","SEA","","","","",""
"28509-28515","QB","Cardale","Cardale Jones","Jones","0","0","6000","SF@LAC","LAC","SF","","","","",""
"28509-41827","QB","Phillip","Phillip Walker","Walker","0","0","6000","HOU@IND","IND","HOU","","","","",""
"28509-26483","QB","Geno","Geno Smith","Smith","-0.10000000149011612","1","6000","SF@LAC","LAC","SF","","","","",""
"28509-39795","QB","Davis","Davis Webb","Webb","0","0","6000","NYJ@JAC","NYJ","JAC","","","","",""
"28509-38796","QB","J.T.","J.T. Barrett IV","Barrett IV","0","0","6000","NO@NYG","NO","NYG","","","","",""
"28509-29587","QB","Cody","Cody Kessler","Kessler","1.3133333524068196","3","6000","NYJ@JAC","JAC","NYJ","","","","",""
"28509-40857","RB","Peyton","Peyton Barber","Barber","4.533333460489909","3","6000","TB@CHI","TB","CHI","","","","",""
"28509-33702","QB","Ryan","Ryan Griffin","Griffin","0","0","6000","TB@CHI","TB","CHI","","","","",""
"28509-43956","QB","David","David Fales","Fales","10.199999809265137","2","6000","MIA@NE","MIA","NE","","","","",""
"28509-38837","QB","Danny","Danny Etling","Etling","0","0","6000","MIA@NE","NE","MIA","","","","",""
"28509-41966","QB","Luke","Luke Falk","Falk","0","0","6000","MIA@NE","MIA","NE","","","","",""
"28509-52560","WR","Geronimo","Geronimo Allison","Allison","13.133333841959635","3","5900","BUF@GB","GB","BUF","","","","",""
"28509-53640","RB","Sony","Sony Michel","Michel","5","2","5900","MIA@NE","NE","MIA","","","","",""
"28509-6893","WR","Jordy","Jordy Nelson","Nelson","11.366666158040365","3","5900","CLE@OAK","OAK","CLE","","","","",""
"28509-14320","RB","Bilal","Bilal Powell","Powell","10.266666412353516","3","5900","NYJ@JAC","NYJ","JAC","","","","",""
"28509-22113","RB","Alfred","Alfred Morris","Morris","7.833333333333333","3","5800","SF@LAC","SF","LAC","Q","Ankle","","",""
"28509-27338","RB","Rex","Rex Burkhead","Burkhead","4.399999936421712","3","5800","MIA@NE","NE","MIA","Q","Neck","","",""
"28509-40669","WR","Tyler","Tyler Boyd","Boyd","14.966667175292969","3","5800","CIN@ATL","CIN","ATL","","","","",""
"28509-54244","WR","Kenny","Kenny Golladay","Golladay","15.699999491373697","3","5800","DET@DAL","DET","DAL","","","","",""
"28509-14339","RB","Dion","Dion Lewis","Lewis","9.933333079020182","3","5700","PHI@TEN","TEN","PHI","","","","",""
"28509-63806","RB","Kerryon","Kerryon Johnson","Johnson","8.766666412353516","3","5700","DET@DAL","DET","DAL","","","","",""
"28509-57840","RB","Rashaad","Rashaad Penny","Penny","3.2666667302449546","3","5700","SEA@ARI","SEA","ARI","","","","",""
"28509-57909","RB","Marlon","Marlon Mack","Mack","4.099999904632568","1","5700","HOU@IND","IND","HOU","Q","Hamstring","","",""
"28509-39793","TE","George","George Kittle","Kittle","9.033333460489908","3","5700","SF@LAC","SF","LAC","","","","",""
"28509-79974","RB","Tarik","Tarik Cohen","Cohen","5.633333206176758","3","5600","TB@CHI","CHI","TB","","","","",""
"28509-39286","TE","O.J.","O.J. Howard","Howard","11.233333587646484","3","5600","TB@CHI","TB","CHI","","","","",""
"28509-30297","TE","Trey","Trey Burton","Burton","6.566666920979817","3","5600","TB@CHI","CHI","TB","","","","",""
"28509-22288","WR","Cole","Cole Beasley","Beasley","6.400000254313151","3","5600","DET@DAL","DAL","DET","","","","",""
"28509-33260","WR","DeVante","DeVante Parker","Parker","5","1","5500","MIA@NE","MIA","NE","","","","",""
"28509-32243","WR","Marquise","Marquise Goodwin","Goodwin","5.150000095367432","2","5500","SF@LAC","SF","LAC","","","","",""
"28509-40442","RB","Aaron","Aaron Jones","Jones","5.199999809265137","1","5500","BUF@GB","GB","BUF","","","","",""
"28509-11779","RB","LeGarrette","LeGarrette Blount","Blount","3.7333332697550454","3","5500","DET@DAL","DET","DAL","","","","",""
"28509-11864","RB","Chris","Chris Ivory","Ivory","8.200000127156576","3","5500","BUF@GB","BUF","GB","","","","",""
"28509-6759","WR","Brandon","Brandon Marshall","Marshall","7.5","3","5500","SEA@ARI","SEA","ARI","","","","",""
"28509-38509","RB","Wendell","Wendell Smallwood","Smallwood","9.050000190734863","2","5500","PHI@TEN","PHI","TEN","","","","",""
"28509-25272","TE","Eric","Eric Ebron","Ebron","9.666666666666666","3","5500","HOU@IND","IND","HOU","","","","",""
"28509-41872","TE","Evan","Evan Engram","Engram","7.133333206176758","3","5500","NO@NYG","NYG","NO","O","Knee - mcl","","",""
"28509-62535","WR","Tyrell","Tyrell Williams","Williams","6.233333587646484","3","5400","SF@LAC","LAC","SF","","","","",""
"28509-25760","WR","Allen","Allen Hurns","Hurns","2.366666634877523","3","5400","DET@DAL","DAL","DET","","","","",""
